userId,cafeId,reportedAt,earned,reason
1,1,2026-07-27T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-07-28T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-07-29T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-07-30T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-07-31T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-08-01T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-08-02T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-08-03T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-08-04T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-08-05T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-08-06T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-08-07T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-08-08T12:47:13.511147+09:00,true,반경 확인됨
1,1,2026-08-09T12:47:13.511147+09:00,true,반경 확인됨
1,2,2026-08-04T12:47:13.511147+09:00,true,반경 확인됨
1,2,2026-08-05T12:47:13.511147+09:00,true,반경 확인됨
1,2,2026-08-06T12:47:13.511147+09:00,true,반경 확인됨
1,2,2026-08-07T12:47:13.511147+09:00,true,반경 확인됨
1,2,2026-08-08T12:47:13.511147+09:00,true,반경 확인됨
1,2,2026-08-09T12:47:13.511147+09:00,true,반경 확인됨
1,2,2026-08-10T09:47:13.511147+09:00,false,위치가 확인되지 않음
1,1,2026-08-10T14:49:58.903433+09:00,true,반경 확인됨
1,1,2026-08-10T15:43:42.438611+09:00,true,반경 확인됨
1,1,2026-08-12T12:55:39.936487+09:00,true,반경 확인됨
